所在地,都道府県,市区町村,緯度,経度,名称,最寄り1,バス1,最寄りバス停1,徒歩1,最寄り2,バス2,最寄りバス停2,徒歩2,最寄り3,バス3,最寄りバス停3,徒歩3,建物の写真,海抜,浸水の可能性,地震時の揺れやすさ,液状化の可能性,土砂災害の可能性,避難所名,避難所距離,避難所座標,家賃,管理費,敷金,礼金,間取り,面積,間取り図
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.5万円,15000円,-,-,1LDK,31.91m2,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.5万円,15000円,-,-,1LDK,31.62m2,https://img01.suumo.com/front/gazo/fr/bukken/285/100375128285/100375128285_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.55万円,15000円,-,-,1LDK,31.62m2,https://img01.suumo.com/front/gazo/fr/bukken/277/100375128277/100375128277_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.55万円,15000円,-,-,1LDK,31.35m2,https://img01.suumo.com/front/gazo/fr/bukken/646/100379381646/100379381646_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.6万円,15000円,-,-,1LDK,31.91m2,https://img01.suumo.com/front/gazo/fr/bukken/506/100374239506/100374239506_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,,,歩8分,ＪＲ山手線/西日暮里駅,,,歩14分,ＪＲ常磐線/三河島駅,,,歩7分,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.6万円,15000円,-,-,1LDK,31.62m2,https://img01.suumo.com/front/gazo/fr/bukken/527/100374239527/100374239527_co.jpg
東京都荒川区東尾久６,東京都,荒川区,139.773956,35.746956,パラッツオ・イイノ,東京メトロ千代田線/町屋駅,,,歩8分,都電荒川線/東尾久三丁目駅,,,歩2分,京成本線/町屋駅,,,歩8分,https://img01.suumo.com/front/gazo/fr/bukken/047/100379085047/100379085047_gw.jpg,1.9,3.0～5.0ｍ未満,やや揺れやすい,やや高い,なし,東尾久本町通りふれあい館,339.94374947,139.7714096 35.74470262,9万円,8000円,9万円,9万円,2DK,37.53m2,https://img01.suumo.com/front/gazo/fr/bukken/047/100379085047/100379085047_co.jpg
東京都荒川区南千住６,東京都,荒川区,139.792831,35.737923,カサス・ガーデン,東京メトロ日比谷線/南千住駅,,,歩7分,都電荒川線/三ノ輪橋駅,,,歩9分,都電荒川線/荒川一中前駅,,,歩12分,https://img01.suumo.com/front/gazo/fr/bukken/737/100379142737/100379142737_gw.jpg,2.6,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,荒川工業高等学校,75.3875899,139.7922648 35.73742445,16万円,10000円,16万円,32万円,2LDK,51.84m2,https://img01.suumo.com/front/gazo/fr/bukken/737/100379142737/100379142737_co.jpg
東京都葛飾区東四つ木４,東京都,葛飾区,139.840195,35.733498,Hirano Homes,京成押上線/四ツ木駅,,,歩6分,京成押上線/京成立石駅,,,歩16分,ＪＲ総武線快速/新小岩駅,バス16分,(バス停)渋江公園,(バス停)渋江公園,https://img01.suumo.com/front/gazo/fr/bukken/232/100379302232/100379302232_gw.jpg,-0.2,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,新四ツ木橋地区東岸,809.61063695,139.8314065 35.73212119,10万円,4000円,10万円,10万円,1LDK,40.57m2,https://img01.suumo.com/front/gazo/fr/bukken/232/100379302232/100379302232_co.jpg
東京都荒川区南千住６,東京都,荒川区,139.792831,35.737923,レ・フォルテ,東京メトロ日比谷線/南千住駅,,,歩9分,京成本線/千住大橋駅,,,歩10分,東京メトロ日比谷線/三ノ輪駅,,,歩12分,https://img01.suumo.com/front/gazo/fr/bukken/422/100375438422/100375438422_gw.jpg,2.6,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,荒川工業高等学校,75.3875899,139.7922648 35.73742445,12.9万円,10000円,-,12.9万円,1LDK,41.68m2,https://img01.suumo.com/front/gazo/fr/bukken/422/100375438422/100375438422_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,13.95万円,15000円,-,-,1LDK,35.95m2,https://img01.suumo.com/front/gazo/fr/bukken/389/100358318389/100358318389_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,13.95万円,15000円,-,-,1LDK,35.95m2,https://img01.suumo.com/front/gazo/fr/bukken/430/100355868430/100355868430_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,14.05万円,15000円,-,-,1LDK,35.95m2,https://img01.suumo.com/front/gazo/fr/bukken/419/100358318419/100358318419_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,14.15万円,15000円,-,-,1LDK,35.95m2,https://img01.suumo.com/front/gazo/fr/bukken/321/100358318321/100358318321_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,17.15万円,20000円,-,-,2LDK,45.06m2,https://img01.suumo.com/front/gazo/fr/bukken/612/100361888612/100361888612_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,17.15万円,20000円,-,-,2LDK,45.06m2,https://img01.suumo.com/front/gazo/fr/bukken/235/100375983235/100375983235_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,17.25万円,20000円,-,-,2LDK,45.06m2,https://img01.suumo.com/front/gazo/fr/bukken/484/100376124484/100376124484_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,17.25万円,20000円,-,-,2LDK,45.06m2,https://img01.suumo.com/front/gazo/fr/bukken/915/100371015915/100371015915_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,18.3万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/392/100358318392/100358318392_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,18.75万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/910/100363803910/100363803910_co.jpg
