所在地,都道府県,市区町村,緯度,経度,名称,最寄り1,バス1,最寄りバス停1,徒歩1,最寄り2,バス2,最寄りバス停2,徒歩2,最寄り3,バス3,最寄りバス停3,徒歩3,建物の写真,海抜,浸水の可能性,地震時の揺れやすさ,液状化の可能性,土砂災害の可能性,避難所名,避難所距離,避難所座標,家賃,管理費,敷金,礼金,間取り,面積,間取り図
東京都葛飾区東立石２,東京都,葛飾区,139.846832,35.733364,京成押上線 京成立石駅 5階建 築7年,京成押上線/京成立石駅,nan,nan,8,京成押上線/四ツ木駅,nan,nan,14,京成本線/お花茶屋駅,nan,nan,26,https://img01.suumo.com/front/gazo/fr/bukken/411/100379040411/100379040411_gw.jpg,-1.1,5.0～10.0ｍ未満,揺れやすい,やや高い,なし,新四ツ木橋地区東岸,1402.2939558,139.8314065 35.73212119,7.0,10000.0,0.0,7.0,1K,21.31,https://img01.suumo.com/front/gazo/fr/bukken/411/100379040411/100379040411_co.jpg
東京都葛飾区西亀有３,東京都,葛飾区,139.83934,35.761562,アクロポリス亀有,ＪＲ常磐線/亀有駅,nan,nan,9,東京メトロ千代田線/綾瀬駅,nan,nan,19,nan,nan,nan,60,https://img01.suumo.com/front/gazo/fr/bukken/729/100332429729/100332429729_gw.jpg,0.1,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,上千葉砂原公園一帯,471.6719586,139.8415434 35.75770896,8.0,5000.0,8.0,0.0,1DK,33.11,https://img01.suumo.com/front/gazo/fr/bukken/596/100375907596/100375907596_co.jpg
東京都足立区西加平２,東京都,足立区,139.820023,35.780117,コンフォート六町,つくばエクスプレス/六町駅,nan,nan,6,ＪＲ常磐線/綾瀬駅,バス16分,(バス停)西加平,0,つくばエクスプレス/青井駅,nan,nan,15,https://img01.suumo.com/front/gazo/fr/bukken/594/100379233594/100379233594_gw.jpg,0.2,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,区立青井小中学校・都営青井三丁目アパート一帯,567.72592399,139.819818 35.775003,8.0,5000.0,8.0,0.0,1K,26.54,https://img01.suumo.com/front/gazo/fr/bukken/597/100379233597/100379233597_co.jpg
東京都葛飾区東四つ木４,東京都,葛飾区,139.840195,35.733498,Hirano Homes,京成押上線/四ツ木駅,nan,nan,6,京成押上線/京成立石駅,nan,nan,16,ＪＲ総武線快速/新小岩駅,バス16分,(バス停)渋江公園,0,https://img01.suumo.com/front/gazo/fr/bukken/232/100379302232/100379302232_gw.jpg,-0.2,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,新四ツ木橋地区東岸,809.61063695,139.8314065 35.73212119,10.0,4000.0,10.0,10.0,1LDK,40.57,https://img01.suumo.com/front/gazo/fr/bukken/232/100379302232/100379302232_co.jpg
東京都荒川区東日暮里６,東京都,荒川区,139.77652,35.730938,ベルシードステアー東日暮里II,ＪＲ山手線/日暮里駅,nan,nan,8,ＪＲ山手線/西日暮里駅,nan,nan,14,ＪＲ常磐線/三河島駅,nan,nan,7,https://img01.suumo.com/front/gazo/fr/bukken/482/100373590482/100373590482_gw.jpg,3.3,0.5～3.0ｍ未満,揺れやすい,やや高い,なし,・高潮時は3階以上に避難,236.87569459,139.7760076 35.73303162,12.0,15000.0,0.0,0.0,1LDK,32.02,https://img01.suumo.com/front/gazo/fr/bukken/018/100378808018/100378808018_co.jpg
東京都荒川区南千住３,東京都,荒川区,139.807022,35.731232,レジディア南千住,東京メトロ日比谷線/南千住駅,nan,nan,9,ＪＲ常磐線/南千住駅,nan,nan,9,つくばエクスプレス/南千住駅,nan,nan,9,https://img01.suumo.com/front/gazo/fr/bukken/320/100299923320/100299923320_gw.jpg,0.9,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,石浜ふれあい館,51.95333706,139.806454 35.731301,19.0,10000.0,19.0,19.0,3LDK,60.42,https://img01.suumo.com/front/gazo/fr/bukken/348/100379195348/100379195348_co.jpg
東京都荒川区南千住３,東京都,荒川区,139.807022,35.731232,レジディア南千住,東京メトロ日比谷線/南千住駅,nan,nan,9,ＪＲ常磐線/南千住駅,nan,nan,9,つくばエクスプレス/南千住駅,nan,nan,9,https://img01.suumo.com/front/gazo/fr/bukken/320/100299923320/100299923320_gw.jpg,0.9,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,石浜ふれあい館,51.95333706,139.806454 35.731301,21.0,10000.0,21.0,0.0,3LDK,64.9,https://img01.suumo.com/front/gazo/fr/bukken/930/100375108930/100375108930_co.jpg
東京都荒川区南千住３,東京都,荒川区,139.807022,35.731232,レジディア南千住,東京メトロ日比谷線/南千住駅,nan,nan,9,ＪＲ常磐線/南千住駅,nan,nan,9,つくばエクスプレス/南千住駅,nan,nan,9,https://img01.suumo.com/front/gazo/fr/bukken/320/100299923320/100299923320_gw.jpg,0.9,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,石浜ふれあい館,51.95333706,139.806454 35.731301,21.0,10000.0,21.0,21.0,3LDK,69.3,https://img01.suumo.com/front/gazo/fr/bukken/395/100377246395/100377246395_co.jpg
東京都荒川区南千住３,東京都,荒川区,139.807022,35.731232,レジディア南千住,東京メトロ日比谷線/南千住駅,nan,nan,9,ＪＲ常磐線/南千住駅,nan,nan,9,つくばエクスプレス/南千住駅,nan,nan,9,https://img01.suumo.com/front/gazo/fr/bukken/320/100299923320/100299923320_gw.jpg,0.9,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,石浜ふれあい館,51.95333706,139.806454 35.731301,22.0,10000.0,22.0,22.0,3LDK,69.3,https://img01.suumo.com/front/gazo/fr/bukken/307/100377742307/100377742307_co.jpg
